"E(level)(keV)","XREF","Jπ(level)","T1/2(level)","E(γ)(keV)","I(γ)","M(γ)","Final Levels","Alpha",
"1945.90 5","F    K","7+","","217.6 3 ,    386.2 1 ,    820.6 1 ,   1238.9 1","7.6,      19.6 9 ,      48.1 19 ,     100 3",", , M1+E2, M1+E2","1728.27,    1559.62,    1125.39,     706.928","6+, 5+, 8+, 6+","",
"1946.15 6","J","0,1,2,3-","","982.79 6","","","963.358","1-","",
"1954.30 5","JK M","3-,4,5-","","732.66 8 ,    913.17 6","70 4 ,     100 5",",","1221.64,    1041.122","5-, 3-","",
"1958.27 5","J","(2+,3,4+)","","935.33 7 ,   1147.75 8 ,   1591.81 8",",  ,",", ,","1022.970,     810.453,     366.4793","4+, 2+, 4+","",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels","",
"1962 1","G    L","","","","","","","","",
"1963.95 4","A        J  M","(1,2+)","","1153.41 7 ,   1842.19 6 ,   1963.98 7",",  ,",", ,","810.453,     121.7818,       0.0","2+, 2+, 0+","",
"1976.98 6","J","4+,5,6+","","954.00 7 ,   1270.11 10 ,   1610.41 11",",  ,",", ,","1022.970,     706.928,     366.4793","4+, 6+, 4+","",
"1977.19 19","K","5-","","667.5 4 ,    755.5 3 ,    953.8 3","50 6 ,      48 5 ,     100 9",", ,","1310.505,    1221.64,    1022.970","6+, 5-, 4+","",
"2003.66 20","B","2+,3,4+","","1193.2 2","100","","810.453","2+","",
"2004.24 6","K","6+","","391.27 7 ,    444.99 19 ,    693.98 13 ,    782.37 23 ,    879.0 10 ,    982.3 3 ,   1297.4 10 ,   1637.43 14","58.8 25 ,       9.3 9 ,      35.0 17 ,      20.4 14 ,      47.2 26 ,      17.0 14 ,      11E+1 12 ,     100 4",", , , , , , ,","1612.90,    1559.62,    1310.505,    1221.64,    1125.39,    1022.970,     706.928,     366.4793","4+, 5+, 6+, 5-, 8+, 4+, 6+, 4+","",
"2004.29 11","F   JK","7-","","879.02 17 ,   1297.29 13","71 24 ,     100 7",", E1","1125.39,     706.928","8+, 6+","",
"2006.61 5","J","0,1,2,3-","","1043.25 5","","","963.358","1-","",
"2011.55 6","G  JK  N","3-,4,5-","","789.96 8 ,    970.38 7","86 5 ,     100 6",",","1221.64,    1041.122","5-, 3-","",
"2011.84 5","G  JK  N","2+,3,4+","","989.08 8 ,   1201.7 6 ,   1645.30 10 ,   1889.95 6","13.1 17 ,       6.0 6 ,     100 9 ,      50 9",", , ,","1022.970,     810.453,     366.4793,     121.7818","4+, 2+, 4+, 2+","",
"2038.37 6","JKL","1,2+","","1227.96 6 ,   1352.97 21 ,   1916.56 24","100 11 ,      30 4 ,",", ,","810.453,     684.751,     121.7818","2+, 0+, 2+","",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels","",
"2040.09 8","F   JKL","6+","","149.06 16 ,    283.94 23 ?,    312,    427,    818.8 3 ,   1333.11 9 ,   1672","41 4 ,      27 4 ,  ,  ,      30 3 ,     100 6 ,",", , , , , ,","1891.06,    1757.001,    1728.27,    1612.90,    1221.64,     706.928,     366.4793","5+, 4+, 6+, 4+, 5-, 6+, 4+","",
"2042.79 5","A        JKL","0+,1,2","","1079.43 5 ,   1234 4 ,   1921.6 10","100 8 ,      10 8 ,       3 3",", ,","963.358,     810.453,     121.7818","1-, 2+, 2+","",
"2044.45 8","B       J","3,4+","","810.2 2 ,   1021.4 2 ,   1234.2 1 ,   1677.6 2","100 7 ,      28 3 ,      68 5 ,       9 3",", , ,","1233.863,    1022.970,     810.453,     366.4793","3+, 4+, 2+, 4+","",
"2046.16 10","F   J","4+,5,6,7+","","486.2 2 ,   1339.33 11","100 6 ,      89 11",",","1559.62,     706.928","5+, 6+","",
"2048.04 11","J","","","962.20 11","","","1085.841","2+","",
"2051.45 8","J","","","401.62 8","","","1649.831","2-","",
"2051.83 7","G  JK","4+","","817.8 3 ,    965.0 7 ,   1930.05 7","100 10 ,      57 7 ,",", ,","1233.863,    1085.841,     121.7818","3+, 2+, 2+","",
"2053.52 8","J","","","1243.06 9 ,   1931.74 16",",",",","810.453,     121.7818","2+, 2+","",
"2055.8 10","F","","","1348.9 10","","","706.928","6+","",
"2057.52 5","C  F    K M","7-","","137.08 5 ,    253.2 2 ,    329.4 1 ,    747.1 2 ,    931.9 2 ,   1350.9 4","100 9 ,      17,      13.9 13 ,      17 9 ,      65 13 ,      43 13","M1+E2, , , , ,","1920.46,    1803.94,    1728.27,    1310.505,    1125.39,     706.928","6-, 5-, 6+, 6+, 8+, 6+","",
