 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Ar46 in Ice.txt

 Ion = Argon [18] , Mass = 46 amu

 Target Density =  9.2000E-01 g/cm3 = 1.0409E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    022.73    016.39   
      H      1    051.51    009.35   
      O      8    025.76    074.25   
 ====================================
 Bragg Correction = 12.20%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  90.00 MeV   2.596E+03  3.041E+00   35.55 um     1.08 um     5691 A   
 100.00 MeV   2.543E+03  2.777E+00   39.44 um     1.21 um     5827 A   
 110.00 MeV   2.483E+03  2.557E+00   43.42 um     1.33 um     5965 A   
 120.00 MeV   2.396E+03  2.371E+00   47.51 um     1.46 um     6106 A   
 130.00 MeV   2.317E+03  2.212E+00   51.76 um     1.58 um     6251 A   
 140.00 MeV   2.247E+03  2.074E+00   56.14 um     1.69 um     6401 A   
 150.00 MeV   2.183E+03  1.953E+00   60.65 um     1.81 um     6555 A   
 160.00 MeV   2.125E+03  1.846E+00   65.29 um     1.93 um     6713 A   
 170.00 MeV   2.072E+03  1.751E+00   70.05 um     2.04 um     6876 A   
 180.00 MeV   2.023E+03  1.666E+00   74.93 um     2.16 um     7044 A   
 200.00 MeV   1.936E+03  1.519E+00   85.03 um     2.59 um     7392 A   
 225.00 MeV   1.842E+03  1.370E+00   98.26 um     3.20 um     7852 A   
 250.00 MeV   1.760E+03  1.249E+00  112.14 um     3.75 um     8337 A   
 275.00 MeV   1.688E+03  1.148E+00  126.64 um     4.28 um     8847 A   
 300.00 MeV   1.622E+03  1.064E+00  141.74 um     4.78 um     9379 A   
 325.00 MeV   1.562E+03  9.911E-01  157.43 um     5.28 um     9934 A   
 350.00 MeV   1.507E+03  9.283E-01  173.72 um     5.76 um     1.05 um  
 375.00 MeV   1.455E+03  8.733E-01  190.60 um     6.24 um     1.11 um  
 400.00 MeV   1.406E+03  8.248E-01  208.07 um     6.71 um     1.17 um  
 450.00 MeV   1.315E+03  7.430E-01  244.84 um     8.49 um     1.30 um  
 500.00 MeV   1.234E+03  6.766E-01  284.08 um    10.15 um     1.44 um  
 550.00 MeV   1.159E+03  6.216E-01  325.88 um    11.75 um     1.59 um  
 600.00 MeV   1.091E+03  5.753E-01  370.34 um    13.33 um     1.74 um  
 650.00 MeV   1.029E+03  5.356E-01  417.53 um    14.91 um     1.91 um  
 700.00 MeV   9.718E+02  5.014E-01  467.53 um    16.51 um     2.08 um  
 800.00 MeV   8.726E+02  4.450E-01  576.12 um    22.56 um     2.46 um  
 900.00 MeV   7.910E+02  4.004E-01  696.49 um    28.27 um     2.87 um  
   1.00 GeV   7.249E+02  3.643E-01  828.55 um    33.90 um     3.33 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  1.0870E-02                keV / (ug/cm2) 
  1.0870E-02                MeV / (mg/cm2) 
  1.0870E+01                keV / (mg/cm2) 
  9.6069E-02                 eV / (1E15 atoms/cm2)
  6.9519E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
