 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 01, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\He3 in Aluminum.txt

 Ion = Helium [2] , Mass = 3 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 160.00 MeV   9.854E+00  4.109E-03    9.09 mm   353.62 um   202.77 um  
 170.00 MeV   9.402E+00  3.888E-03   10.13 mm   384.58 um   225.10 um  
 180.00 MeV   8.997E+00  3.691E-03   11.22 mm   415.94 um   248.40 um  
 200.00 MeV   8.298E+00  3.353E-03   13.53 mm   532.52 um   297.78 um  
 225.00 MeV   7.588E+00  3.012E-03   16.68 mm   698.26 um   364.53 um  
 250.00 MeV   7.010E+00  2.736E-03   20.10 mm   854.20 um   436.59 um  
 275.00 MeV   6.530E+00  2.507E-03   23.79 mm     1.01 mm   513.70 um  
 300.00 MeV   6.125E+00  2.316E-03   27.74 mm     1.16 mm   595.62 um  
 325.00 MeV   5.779E+00  2.152E-03   31.94 mm     1.30 mm   682.13 um  
 350.00 MeV   5.479E+00  2.011E-03   36.38 mm     1.45 mm   773.01 um  
 375.00 MeV   5.217E+00  1.888E-03   41.05 mm     1.60 mm   868.07 um  
 400.00 MeV   4.986E+00  1.779E-03   45.95 mm     1.75 mm   967.13 um  
 450.00 MeV   4.597E+00  1.597E-03   56.38 mm     2.30 mm     1.18 mm  
 500.00 MeV   4.282E+00  1.450E-03   67.65 mm     2.81 mm     1.40 mm  
 550.00 MeV   4.022E+00  1.328E-03   79.69 mm     3.30 mm     1.64 mm  
 600.00 MeV   3.803E+00  1.226E-03   92.46 mm     3.78 mm     1.88 mm  
 650.00 MeV   3.617E+00  1.139E-03  105.93 mm     4.24 mm     2.14 mm  
 700.00 MeV   3.457E+00  1.064E-03  120.06 mm     4.71 mm     2.41 mm  
 800.00 MeV   3.195E+00  9.409E-04  150.13 mm     6.37 mm     2.98 mm  
 900.00 MeV   2.991E+00  8.441E-04  182.46 mm     7.87 mm     3.58 mm  
   1.00 GeV   2.827E+00  7.660E-04  216.83 mm     9.28 mm     4.20 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  3.7011E-03                keV / (ug/cm2) 
  3.7011E-03                MeV / (mg/cm2) 
  3.7011E+00                keV / (mg/cm2) 
  1.6582E-01                 eV / (1E15 atoms/cm2)
  2.0095E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
